batch	sample	Tx	lineage	ID
1	27	n	GM58	n_A00
1	28	n	L1	n_A01
1	29	n	L4	n_A04
1	30	n	L5	n_A05
1	31	n	L6	n_A06
1	32	n	L7	n_A07
1	33	n	L8	n_A08
1	34	n	L9	n_A09
1	35	n	L10	n_A10
1	36	H	GM60	H_A00
1	37	H	L96	H_A01
1	38	H	L97	H_A02
1	39	H	L98	H_A03
1	40	H	L99	H_A04
1	41	H	L100	H_A05
1	42	H	L101	H_A06
1	43	H	L102	H_A07
1	44	H	L103	H_A08
1	45	H	L104	H_A09
1	46	H	L105	H_A10
1	47	H	L106	H_A11
1	48	H	L107	H_A12
1	49	F	GM50	F_A00
1	50	F	L191	F_A01
1	51	F	L192	F_A02
1	52	F	L193	F_A03
1	53	F	L194	F_A04
1	54	F	L195	F_A05
1	55	F	L196	F_A06
1	56	F	L197	F_A07
1	57	F	L198	F_A08
1	58	F	L199	F_A09
1	59	F	L200	F_A10
1	60	F	L201	F_A11
1	61	F	L202	F_A12
1	62	F	L203	F_A13
1	63	F	L204	F_A14
2	26	n	GM70	n_B01
2	27	n	L13	n_B02
2	28	n	L14	n_B03
2	29	n	L21	n_B09
2	30	n	L22	n_B10
2	31	n	L23	n_B11
2	32	n	L24	n_B12
2	33	H	GM43	H_B00
2	34	H	L108	H_B01
2	35	H	L109	H_B02
2	36	H	L110	H_B03
2	37	H	L111	H_B04
2	38	H	L112	H_B05
2	39	H	L113	H_B06
2	40	H	L114	H_B07
2	41	H	L115	H_B08
2	42	H	L116	H_B09
2	43	H	L117	H_B10
2	44	H	L118	H_B11
2	45	H	L119	H_B12
2	46	F	GM52	F_B00
2	47	F	L205	F_B01
2	48	F	L206	F_B02
2	49	F	L207	F_B03
2	50	F	L208	F_B04
2	51	F	L209	F_B05
2	52	F	L210	F_B06
2	53	F	L211	F_B07
2	54	F	L212	F_B08
2	55	F	L213	F_B09
2	56	F	L214	F_B10
2	57	F	L215	F_B11
2	58	F	L216	F_B12
2	59	F	L217	F_B13
2	60	F	L218	F_B14
