batch	sample	Tx	lineage	ID
1	27	n	GM58	A00
1	28	n	L1	A01
1	29	n	L4	A02
1	30	n	L5	A03
1	31	n	L6	A04
1	32	n	L7	A05
1	33	n	L8	A06
1	34	n	L9	A07
1	35	n	L10	A08
1	36	H	GM60	A00
1	37	H	L96	A01
1	38	H	L97	A02
1	39	H	L98	A03
1	40	H	L99	A04
1	41	H	L100	A05
1	42	H	L101	A06
1	43	H	L102	A07
1	44	H	L103	A08
1	45	H	L104	A09
1	46	H	L105	A10
1	47	H	L106	A11
1	48	H	L107	A12
1	49	F	GM50	A00
1	50	F	L191	A01
1	51	F	L192	A02
1	52	F	L193	A03
1	53	F	L194	A04
1	54	F	L195	A05
1	55	F	L196	A06
1	56	F	L197	A07
1	57	F	L198	A08
1	58	F	L199	A09
1	59	F	L200	A10
1	60	F	L201	A11
1	61	F	L202	A12
1	62	F	L203	A13
1	63	F	L204	A14
