L23_S31_L002_R1_001.fastq.gz N_B11_2_R1
L24_S32_L002_R1_001.fastq.gz N_B12_2_R1
L108_S34_L002_R1_001.fastq.gz H_B01_2_R1
L109_S35_L002_R1_001.fastq.gz H_B02_2_R1
L110_S36_L002_R1_001.fastq.gz H_B03_2_R1
L111_S37_L002_R1_001.fastq.gz H_B04_2_R1
L112_S38_L002_R1_001.fastq.gz H_B05_2_R1
L113_S39_L002_R1_001.fastq.gz H_B06_2_R1
L114_S40_L002_R1_001.fastq.gz H_B07_2_R1
L115_S41_L002_R1_001.fastq.gz H_B08_2_R1
L116_S42_L002_R1_001.fastq.gz H_B09_2_R1
L117_S43_L002_R1_001.fastq.gz H_B10_2_R1
L118_S44_L002_R1_001.fastq.gz H_B11_2_R1
L119_S45_L002_R1_001.fastq.gz H_B12_2_R1
L205_S47_L002_R1_001.fastq.gz F_B01_2_R1
L206_S48_L002_R1_001.fastq.gz F_B02_2_R1
L207_S49_L002_R1_001.fastq.gz F_B03_2_R1
L208_S50_L002_R1_001.fastq.gz F_B04_2_R1
L209_S51_L002_R1_001.fastq.gz F_B05_2_R1
L210_S52_L002_R1_001.fastq.gz F_B06_2_R1
L211_S53_L002_R1_001.fastq.gz F_B07_2_R1
L212_S54_L002_R1_001.fastq.gz F_B08_2_R1
L213_S55_L002_R1_001.fastq.gz F_B09_2_R1
L214_S56_L002_R1_001.fastq.gz F_B10_2_R1
L215_S57_L002_R1_001.fastq.gz F_B11_2_R1
L216_S58_L002_R1_001.fastq.gz F_B12_2_R1
L217_S59_L002_R1_001.fastq.gz F_B13_2_R1
L218_S60_L002_R1_001.fastq.gz F_B14_2_R1
L23_S31_L002_R2_001.fastq.gz N_B11_2_R2
L24_S32_L002_R2_001.fastq.gz N_B12_2_R2
L108_S34_L002_R2_001.fastq.gz H_B01_2_R2
L109_S35_L002_R2_001.fastq.gz H_B02_2_R2
L110_S36_L002_R2_001.fastq.gz H_B03_2_R2
L111_S37_L002_R2_001.fastq.gz H_B04_2_R2
L112_S38_L002_R2_001.fastq.gz H_B05_2_R2
L113_S39_L002_R2_001.fastq.gz H_B06_2_R2
L114_S40_L002_R2_001.fastq.gz H_B07_2_R2
L115_S41_L002_R2_001.fastq.gz H_B08_2_R2
L116_S42_L002_R2_001.fastq.gz H_B09_2_R2
L117_S43_L002_R2_001.fastq.gz H_B10_2_R2
L118_S44_L002_R2_001.fastq.gz H_B11_2_R2
L119_S45_L002_R2_001.fastq.gz H_B12_2_R2
L205_S47_L002_R2_001.fastq.gz F_B01_2_R2
L206_S48_L002_R2_001.fastq.gz F_B02_2_R2
L207_S49_L002_R2_001.fastq.gz F_B03_2_R2
L208_S50_L002_R2_001.fastq.gz F_B04_2_R2
L209_S51_L002_R2_001.fastq.gz F_B05_2_R2
L210_S52_L002_R2_001.fastq.gz F_B06_2_R2
L211_S53_L002_R2_001.fastq.gz F_B07_2_R2
L212_S54_L002_R2_001.fastq.gz F_B08_2_R2
L213_S55_L002_R2_001.fastq.gz F_B09_2_R2
L214_S56_L002_R2_001.fastq.gz F_B10_2_R2
L215_S57_L002_R2_001.fastq.gz F_B11_2_R2
L216_S58_L002_R2_001.fastq.gz F_B12_2_R2
L217_S59_L002_R2_001.fastq.gz F_B13_2_R2
L218_S60_L002_R2_001.fastq.gz F_B14_2_R2
