batch	sample	Tx	lineage
1	27	neg	GM58
1	28	neg	L1
1	29	neg	L4
1	30	neg	L5
1	31	neg	L6
1	32	neg	L7
1	33	neg	L8
1	34	neg	L9
1	35	neg	L10
1	36	half	GM60
1	37	half	L96
1	38	half	L97
1	39	half	L98
1	40	half	L99
1	41	half	L100
1	42	half	L101
1	43	half	L102
1	44	half	L103
1	45	half	L104
1	46	half	L105
1	47	half	L106
1	48	half	L107
1	49	full	GM50
1	50	full	L191
1	51	full	L192
1	52	full	L193
1	53	full	L194
1	54	full	L195
1	55	full	L196
1	56	full	L197
1	57	full	L198
1	58	full	L199
1	59	full	L200
1	60	full	L201
1	61	full	L202
1	62	full	L203
1	63	full	L204
